model,depth,train_accuracy,validation_accuracy
decision_tree,3,0.662860968372295,0.6390728476821192
decision_tree,5,0.6740066584642107,0.6498208663554446
decision_tree,7,0.6808641528551784,0.6464553251547064
decision_tree,9,0.6871607440110009,0.6457496471610031
random_forest,3,0.6681805022798002,0.6437411790250787
random_forest,5,0.6757255554751394,0.650255129736185
random_forest,7,0.6818593037562423,0.6533492563239605
random_forest,9,0.691973655641601,0.6537292367821084
gbdt,3,0.6877397408988927,0.6553034415372924
gbdt,5,0.715983932836361,0.6524807295624796
gbdt,7,0.7674965622059782,0.6486266420584085
gbdt,9,0.8410834479264674,0.6468895885354468
