model,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_positive_rate,absolute_calibration_error,weighted_absolute_calibration_error
decision_tree,0,0.0,0.1,616,0.053503588327407536,0.1525974025974026,0.09909381426999506,0.0033135267392420454
decision_tree,1,0.1,0.2,1371,0.15182836518607534,0.25309992706053974,0.1012715618744644,0.007536820721414108
decision_tree,2,0.2,0.30000000000000004,1549,0.2546608119319366,0.3014848289218851,0.04682401698994848,0.0039371622146037455
decision_tree,3,0.30000000000000004,0.4,1848,0.3433511337421917,0.354978354978355,0.011627221236163277,0.0011663828490082366
decision_tree,4,0.4,0.5,3533,0.4354991955306125,0.44947636569487687,0.013977170164264363,0.002680563575634893
decision_tree,5,0.5,0.6000000000000001,3146,0.5410827638723338,0.5152574698029243,0.025825294069409477,0.00441029069277832
decision_tree,6,0.6000000000000001,0.7000000000000001,2748,0.640932921920232,0.6077147016011645,0.033218220319067515,0.00495514436200182
decision_tree,7,0.7000000000000001,0.8,1779,0.729347350482485,0.6975829117481731,0.031764438734311895,0.0030674702262697244
decision_tree,8,0.8,0.9,1451,0.8507168569685498,0.7725706409372847,0.07814621603126515,0.0061551492487984865
decision_tree,9,0.9,1.0,381,0.967517965554365,0.8608923884514436,0.10662557710292142,0.0022052081682886254
gbdt,0,0.0,0.1,702,0.0691431459442374,0.11538461538461539,0.04624146944037799,0.0017621057185509363
gbdt,1,0.1,0.2,1449,0.15159806261456268,0.2463768115942029,0.09477874897964023,0.007454912999212827
gbdt,2,0.2,0.30000000000000004,2128,0.25119511922106974,0.33458646616541354,0.0833913469443438,0.009632872994113757
gbdt,3,0.30000000000000004,0.4,2478,0.3516511671980573,0.40839386602098465,0.05674269882292737,0.007632635310129954
gbdt,4,0.4,0.5,2879,0.45009126209732414,0.46613407433136506,0.016042812234040915,0.0025071792651071433
gbdt,5,0.5,0.6000000000000001,2688,0.5502929784117858,0.5230654761904762,0.027227502221309652,0.003972832807017715
gbdt,6,0.6000000000000001,0.7000000000000001,2438,0.649249257454563,0.6263330598851518,0.022916197569411212,0.0030327700398558536
gbdt,7,0.7000000000000001,0.8,1954,0.7472227655414497,0.6878198567041965,0.05940290883725319,0.0063007970832696086
gbdt,8,0.8,0.9,1318,0.8449526389849848,0.7693474962063733,0.07560514277861152,0.005409161773000216
gbdt,9,0.9,1.0,388,0.9280147019916841,0.8711340206185567,0.056880681373127406,0.0011980080541077753
random_forest,0,0.0,0.1,289,0.07915524809608489,0.09342560553633218,0.014270357440247294,0.0002238700086978324
random_forest,1,0.1,0.2,1162,0.1515480009811103,0.18158347676419967,0.030035475783089377,0.0018945403788920778
random_forest,2,0.2,0.30000000000000004,1784,0.25402209604571835,0.28082959641255606,0.02680750036683771,0.002596058009686162
random_forest,3,0.30000000000000004,0.4,2552,0.35452568004165713,0.35893416927899685,0.004408489237339719,0.0006107080954126025
random_forest,4,0.4,0.5,2923,0.45100641562764615,0.4481696886760178,0.0028367269516283433,0.00045010057972042384
random_forest,5,0.5,0.6000000000000001,3867,0.5521318292328355,0.5283165244375485,0.02381530479528704,0.00499911972876859
random_forest,6,0.6000000000000001,0.7000000000000001,2392,0.6477767131619372,0.632943143812709,0.014833569349228193,0.0019260611162389446
random_forest,7,0.7000000000000001,0.8,2222,0.7463226620673787,0.7115211521152115,0.03480150995216724,0.0041976416846007825
random_forest,8,0.8,0.9,1066,0.8417605284250036,0.8245778611632271,0.01718266726177653,0.000994285273100303
random_forest,9,0.9,1.0,165,0.9166267603081205,0.9151515151515152,0.0014752451566053537,1.3213302075772628e-05
