model,depth,train_accuracy,validation_accuracy
decision_tree,3,0.662860968372295,0.6390728476821192
decision_tree,5,0.6640008684953318,0.6363044186298991
decision_tree,7,0.6709126438445393,0.6296819020736076
decision_tree,9,0.6790366939277701,0.6209966344587993
random_forest,3,0.6629876239415213,0.6392356964498969
random_forest,5,0.6641637113700514,0.6390728476821192
random_forest,7,0.6691937468336108,0.639344262295082
random_forest,9,0.6793442860244626,0.6399413744436
gbdt,3,0.6711297676774988,0.6374986429269351
gbdt,5,0.6920279365998407,0.6368472478558246
gbdt,7,0.7396866179344286,0.6328303115839757
gbdt,9,0.8175978866613592,0.6283791119313864
