model,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_positive_rate,absolute_calibration_error,weighted_absolute_calibration_error
decision_tree,0,0.0,0.1,0,,,,0.0
decision_tree,1,0.1,0.2,1200,0.14499192245557352,0.20333333333333334,0.05834141087775982,0.003800330748741276
decision_tree,2,0.2,0.30000000000000004,2461,0.2562111599670855,0.2998780983340106,0.04366693836692509,0.00583347819569008
decision_tree,3,0.30000000000000004,0.4,0,,,,0.0
decision_tree,4,0.4,0.5,5330,0.41492802333692697,0.42514071294559097,0.010212689608664005,0.002954816828475689
decision_tree,5,0.5,0.6000000000000001,5908,0.5942876611208903,0.5656736628300609,0.028613998290829334,0.009176609591912915
decision_tree,6,0.6000000000000001,0.7000000000000001,0,,,,0.0
decision_tree,7,0.7000000000000001,0.8,2658,0.7513089651124533,0.6948833709556057,0.05642559415684756,0.00814131089289441
decision_tree,8,0.8,0.9,865,0.8715932914046118,0.8046242774566474,0.0669690139479644,0.003144511837204929
decision_tree,9,0.9,1.0,0,,,,0.0
gbdt,0,0.0,0.1,297,0.0826314523244769,0.1111111111111111,0.028479658786634207,0.0004591498566730192
gbdt,1,0.1,0.2,1486,0.15543009665478283,0.2173620457604307,0.061931949105647865,0.004995704938171357
gbdt,2,0.2,0.30000000000000004,2138,0.25124924096461837,0.30729653882132835,0.05604729785670998,0.006504674998243727
gbdt,3,0.30000000000000004,0.4,2700,0.35256736417544055,0.40555555555555556,0.05298819138011501,0.007766155505716563
gbdt,4,0.4,0.5,2883,0.44883315494921283,0.47519944502254596,0.026366290073333132,0.004126262853187462
gbdt,5,0.5,0.6000000000000001,2790,0.551038469388965,0.5419354838709678,0.009102985517997153,0.001378641276474436
gbdt,6,0.6000000000000001,0.7000000000000001,3086,0.6479840598283649,0.6072585871678549,0.040725472660510076,0.00682221304040463
gbdt,7,0.7000000000000001,0.8,1808,0.7457203025106434,0.706858407079646,0.038861895430997384,0.0038140433687570987
gbdt,8,0.8,0.9,1087,0.8413133645534229,0.7874885004599816,0.05382486409344123,0.0031759650021480085
gbdt,9,0.9,1.0,147,0.9132586114477884,0.9183673469387755,0.005108735490987115,4.0765612700852565e-05
random_forest,0,0.0,0.1,64,0.08952587064386493,0.09375,0.004224129356135073,1.467507755904053e-05
random_forest,1,0.1,0.2,1265,0.15602072807546616,0.18023715415019761,0.024216426074731456,0.0016628910533348872
random_forest,2,0.2,0.30000000000000004,1957,0.2539759349013284,0.28819621870209505,0.03422028380076664,0.003635278221588335
random_forest,3,0.30000000000000004,0.4,2955,0.35097997197315667,0.38138747884940777,0.0304075068762511,0.0048775476505983064
random_forest,4,0.4,0.5,2942,0.44566603958615425,0.47756628144119645,0.0319002418550422,0.005094480053063411
random_forest,5,0.5,0.6000000000000001,2897,0.5536862486891951,0.5260614428719365,0.02762480581725868,0.004344211402268938
random_forest,6,0.6000000000000001,0.7000000000000001,3115,0.6502162145799746,0.6077046548956662,0.04251155968430842,0.0071883350568136325
random_forest,7,0.7000000000000001,0.8,2140,0.7436902679571656,0.7037383177570093,0.039951950200156294,0.004641036447092306
random_forest,8,0.8,0.9,1028,0.8380738681186042,0.8044747081712063,0.03359915994739793,0.0018749286953601708
random_forest,9,0.9,1.0,59,0.9142285920402434,0.8983050847457628,0.015923507294480665,5.0998096318225994e-05
