model,depth,train_accuracy,validation_accuracy
decision_tree,3,0.662860968372295,0.6390728476821192
decision_tree,5,0.6740066584642107,0.6498208663554446
decision_tree,7,0.6808641528551784,0.6464553251547064
decision_tree,9,0.6871607440110009,0.6457496471610031
random_forest,3,0.6669863211985235,0.6424383888828574
random_forest,5,0.6751646522399942,0.6483552274454457
random_forest,7,0.6820221466309618,0.6519921832591467
random_forest,9,0.6946153289426069,0.6539463684724786
gbdt,3,0.683668669030904,0.6527521441754424
gbdt,5,0.7040783093290873,0.6522635978721094
gbdt,7,0.7525692986900195,0.6465096080772988
gbdt,9,0.8290330751972208,0.6430897839539681
