model,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_positive_rate,absolute_calibration_error,weighted_absolute_calibration_error
decision_tree,0,0.0,0.1,798,0.0658629660344906,0.15914786967418545,0.09328490363969485,0.004040894208255156
decision_tree,1,0.1,0.2,1191,0.15727426359474328,0.2577665827036104,0.10049231910886713,0.006496924984185254
decision_tree,2,0.2,0.30000000000000004,1740,0.26673577157344885,0.31091954022988505,0.044183768656436195,0.004173257923254748
decision_tree,3,0.30000000000000004,0.4,1603,0.3420337371633957,0.3574547723019339,0.015421035138538208,0.0013418694673258467
decision_tree,4,0.4,0.5,3328,0.43884985346113514,0.4384014423076923,0.00044841115344285143,8.100707407761425e-05
decision_tree,5,0.5,0.6000000000000001,3208,0.54757451997202,0.5074812967581047,0.040093223213915286,0.006981818481719696
decision_tree,6,0.6000000000000001,0.7000000000000001,3599,0.6431541496012254,0.6285079188663517,0.0146462307348737,0.0028613497131044644
decision_tree,7,0.7000000000000001,0.8,1210,0.7629933429276043,0.7115702479338843,0.05142309499372,0.003377589020866421
decision_tree,8,0.8,0.9,1373,0.8520762081839816,0.7676620538965768,0.08441415428740473,0.006291425134980279
decision_tree,9,0.9,1.0,372,0.9621758780971907,0.8629032258064516,0.09927265229073912,0.0020046372083462683
gbdt,0,0.0,0.1,615,0.0681607146222413,0.12845528455284552,0.060294569930604225,0.002012873765460949
gbdt,1,0.1,0.2,1543,0.15384256240361377,0.254698639014906,0.10085607661129226,0.008447558691305175
gbdt,2,0.2,0.30000000000000004,2231,0.25224413122504585,0.32855221873599283,0.07630808751094698,0.0092413062228272
gbdt,3,0.30000000000000004,0.4,2688,0.3500154664716832,0.40476190476190477,0.05474643829022158,0.007988189454137205
gbdt,4,0.4,0.5,2854,0.4496088202324978,0.4817799579537491,0.0321711377212513,0.004984064002630073
gbdt,5,0.5,0.6000000000000001,2762,0.5500140748737933,0.5354815351194786,0.014532539754314677,0.002178855433797478
gbdt,6,0.6000000000000001,0.7000000000000001,2325,0.6484852841258532,0.6141935483870967,0.034291735738756435,0.004327884355260487
gbdt,7,0.7000000000000001,0.8,1733,0.7469158603972292,0.7022504327755338,0.04466542762169545,0.004201779723612974
gbdt,8,0.8,0.9,1236,0.846025222114469,0.7775080906148867,0.06851713149958227,0.004597067339783069
gbdt,9,0.9,1.0,435,0.9291285072259013,0.8735632183908046,0.055565288835096704,0.0013120671286107409
random_forest,0,0.0,0.1,326,0.07955347110851983,0.08588957055214724,0.00633609944362741,0.00011212509057770795
random_forest,1,0.1,0.2,1169,0.15338909145488694,0.18905047048759624,0.0356613790327093,0.0022629547328866123
random_forest,2,0.2,0.30000000000000004,1769,0.2524655864791227,0.2752967778405879,0.02283119136146522,0.0021923991704718257
random_forest,3,0.30000000000000004,0.4,2617,0.35370772658265454,0.36988918609094384,0.01618145950828931,0.0022987123837364632
random_forest,4,0.4,0.5,2812,0.45059616737532204,0.44061166429587484,0.009984503079447204,0.0015240702778962945
random_forest,5,0.5,0.6000000000000001,4009,0.5510828620625307,0.5352955849338987,0.015787277128631927,0.0034356309851636844
random_forest,6,0.6000000000000001,0.7000000000000001,2176,0.6482279084922924,0.6286764705882353,0.019551437904057112,0.002309408798134202
random_forest,7,0.7000000000000001,0.8,2206,0.7451320452815099,0.7017225747960109,0.043409470485499035,0.005198202795082557
random_forest,8,0.8,0.9,1146,0.8424719614979364,0.8307155322862129,0.011756429211723485,0.0007313466440470695
random_forest,9,0.9,1.0,192,0.9174798103565963,0.9166666666666666,0.0008131436899296851,8.474844667598498e-06
