model,max_depth,min_samples_leaf,n_estimators,training_accuracy,validation_accuracy,validation_log_loss,elapsed_fit_seconds,elapsed_total_seconds,learning_rate,subsample
gbdt,3,5,100,0.683668669030904,0.6527521441754424,0.6161143279280178,20.614095602184534,205.42280848580413,0.1,0.7
gbdt,3,5,100,0.6838496055583702,0.6543806318532189,0.6163164573102343,24.80480394489132,230.22769794194028,0.1,0.85
gbdt,3,5,200,0.683053484837519,0.6541092172402562,0.6163838125356893,57.424399280920625,553.9974152168725,0.05,1.0
gbdt,3,5,300,0.6830896721430122,0.6532949734013679,0.6164413326431062,61.01014091493562,762.6061593168415,0.03,0.7
gbdt,3,5,300,0.6819316783672288,0.6536206709369232,0.6164899208637308,85.96723245293833,922.078543497948,0.03,1.0
gbdt,3,5,300,0.6826916117825866,0.6537835197047009,0.6164953415546033,73.50462401495315,836.1110523329116,0.03,0.85
gbdt,3,5,200,0.6914670333646956,0.6545434806209967,0.6165612638469984,40.828938758932054,594.8265369769651,0.1,0.7
gbdt,3,5,100,0.6825106752551205,0.654869178156552,0.6165779566963446,28.900904183043167,259.1287287559826,0.1,1.0
gbdt,3,5,200,0.683433451545198,0.6536206709369232,0.6166514512296335,40.90104513987899,447.3701048439834,0.05,0.7
gbdt,3,5,200,0.6832706086704784,0.6536749538595158,0.6166838017978787,49.20253182994202,496.5728124550078,0.05,0.85
gbdt,3,5,200,0.6900014474922197,0.654977744001737,0.6167297638213923,57.5252108189743,701.5958039700054,0.1,1.0
gbdt,3,5,200,0.68989288557574,0.6544349147758115,0.6167501322212797,49.24369155103341,644.0703916989733,0.1,0.85
gbdt,3,5,200,0.6798870956068611,0.6543263489306265,0.616944475600972,40.77968831709586,299.90856011398137,0.03,0.7
gbdt,3,5,200,0.6798509083013679,0.6535663880143306,0.6170089183262691,57.37200352316722,406.4688549628481,0.03,1.0
gbdt,3,5,200,0.6802308750090468,0.6547063293887743,0.6170531846431525,49.18789811292663,349.0966539878864,0.03,0.85
gbdt,3,5,100,0.6788738510530505,0.6535663880143306,0.6171807560443857,20.601690575946122,131.1629289498087,0.05,0.7
gbdt,3,5,100,0.6793080987189694,0.6539463684724786,0.6172357769213681,28.876898191170767,184.80860637291335,0.05,1.0
gbdt,3,5,100,0.6794890352464356,0.6537835197047009,0.6174121570745619,24.76850398001261,155.9315751409158,0.05,0.85
gbdt,3,5,100,0.6765759571542302,0.6531321246335903,0.6182926043058191,20.634713568957523,56.96535492897965,0.03,0.7
gbdt,3,5,100,0.6774444524860679,0.6528064270980349,0.6183605948401222,28.83707374194637,110.5610731728375,0.03,1.0
gbdt,3,5,100,0.6776977636245205,0.6525892954076647,0.6184120213969657,24.758305249968544,81.72382304002531,0.03,0.85
random_forest,9,5,300,0.6946153289426069,0.6539463684724786,0.6164556097458211,1.3121489621698856,29.86985776782967,,
random_forest,9,10,300,0.6926793080987189,0.653892085549886,0.6166292041282097,1.3272908101789653,33.11898380983621,,
random_forest,9,5,200,0.6946696099008468,0.6541092172402562,0.6166703661998097,1.070120583055541,28.557297572959214,,
random_forest,9,10,200,0.6919193746833611,0.6536749538595158,0.6167915007874616,1.0664595998823643,31.79129914799705,,
random_forest,9,5,100,0.6952486067887386,0.6528064270980349,0.6168618016946605,0.7725151448976249,27.486951327882707,,
random_forest,9,20,300,0.6913765651009626,0.6540006513950711,0.6169412809820393,1.2821854979265481,36.33006543596275,,
random_forest,9,10,100,0.6924983715712528,0.6536206709369232,0.6170123702560089,0.8541884440928698,30.7246058259625,,
random_forest,9,20,200,0.6909604110877904,0.6532949734013679,0.6170829843311344,1.138991380110383,35.04749250598252,,
random_forest,9,20,100,0.6907794745603243,0.6524264466398871,0.6171887367694706,0.7887331100646406,33.90826061391272,,
random_forest,7,5,300,0.6820221466309618,0.6519921832591467,0.6174128472987779,1.3004228768404573,20.55853087687865,,
random_forest,7,10,300,0.6814250560903236,0.6515579198784063,0.6174895187918983,1.2285082899034023,23.623622425831854,,
random_forest,7,5,200,0.6820764275892017,0.6527521441754424,0.6175302040509121,1.0179446949623525,19.257733097998425,,
random_forest,7,20,300,0.6810089020771514,0.6522093149495168,0.6175794098906833,1.2847149439621717,26.713925949996337,,
random_forest,7,10,200,0.6816964608815228,0.6519921832591467,0.6176071325229132,1.0551912570372224,22.394732984015718,,
random_forest,7,20,200,0.6813707751320837,0.6530778417109977,0.6177207944900944,1.0227865469641984,25.428833132842556,,
random_forest,7,5,100,0.682112614894695,0.6525350124850722,0.617730112776548,0.751672110054642,18.23957555089146,,
random_forest,7,20,100,0.6816421799232829,0.6525892954076647,0.6177917504419375,0.7816891151014715,24.40582463494502,,
random_forest,7,10,100,0.6820402402837085,0.6509608077298882,0.6178934050748996,0.7802718260791153,21.33933250582777,,
random_forest,5,5,200,0.6752008395454875,0.6487352079035935,0.6198566493908829,0.9661172889173031,10.366178925847635,,
random_forest,5,10,200,0.6756350872114062,0.6489523395939637,0.61986665347465,1.0040898059960455,13.321901707910001,,
random_forest,5,10,300,0.6753455887674604,0.6481380957550754,0.6199530313324791,1.1884567309170961,14.510711340932176,,
random_forest,5,5,300,0.6751646522399942,0.6483552274454457,0.6199964013873575,1.2143503888510168,11.580879916902632,,
random_forest,5,20,200,0.6749113411015416,0.6481380957550754,0.6200267986120701,0.9895832319743931,16.262372989905998,,
random_forest,5,20,300,0.6748570601433017,0.6488437737487787,0.6201226179622393,1.2246923760976642,17.487411967944354,,
random_forest,5,5,100,0.674983715712528,0.648192378677668,0.6201571557235681,0.7563165209721774,9.399852685863152,,
random_forest,5,10,100,0.6752008395454875,0.6481380957550754,0.620185701670382,0.736225871136412,12.317605081014335,,
random_forest,5,20,100,0.6743866251718897,0.6487894908261861,0.6202782781865621,0.7613797229714692,15.2725887268316,,
random_forest,3,20,200,0.6671129767677498,0.6425469547280426,0.6268823268017925,0.9830869699362665,7.4836658199783415,,
random_forest,3,5,200,0.66705869580951,0.6426555205732276,0.6268874637465968,0.9543775140773505,1.726866148877889,,
random_forest,3,10,200,0.66705869580951,0.6426555205732276,0.626893206911982,0.9507208499126136,4.587734175845981,,
random_forest,3,20,300,0.6667691973655642,0.6424383888828574,0.6269284181464114,1.1590732301119715,8.643085091840476,,
random_forest,3,5,300,0.6669863211985235,0.6424383888828574,0.6269291962024203,1.2030961059499532,2.9303103669080883,,
random_forest,3,10,300,0.6669863211985235,0.6424383888828574,0.6269327516869773,1.1981596539262682,5.786228011827916,,
random_forest,3,5,100,0.667203445031483,0.6431983497991531,0.6272999958277139,0.7720844228751957,0.7722967439331114,,
random_forest,3,10,100,0.667203445031483,0.6431440668765607,0.6273102296704341,0.7060380149632692,3.6368207449559122,,
random_forest,3,20,100,0.6668053846710574,0.6427098034958202,0.6273161189245798,0.7137031340971589,6.500391908921301,,
